Lat,Lon,Time
39.7318000,-86.2588000,0
39.7318022,-86.2587829,100
39.7318040,-86.2587657,200
39.7318056,-86.2587485,300
39.7318069,-86.2587311,400
39.7318080,-86.2587137,500
39.7318089,-86.2586965,600
39.7318097,-86.2586793,700
39.7318103,-86.2586620,800
39.7318108,-86.2586448,900
39.7318113,-86.2586274,1000
39.7318117,-86.2586101,1100
39.7318120,-86.2585928,1200
39.7318123,-86.2585755,1300
39.7318125,-86.2585581,1400
39.7318127,-86.2585408,1500
39.7318129,-86.2585236,1600
39.7318131,-86.2585062,1700
39.7318133,-86.2584889,1800
39.7318135,-86.2584716,1900
39.7318137,-86.2584542,2000
39.7318140,-86.2584368,2100
39.7318143,-86.2584193,2200
39.7318146,-86.2584020,2300
39.7318150,-86.2583847,2400
39.7318154,-86.2583674,2500
39.7318160,-86.2583501,2600
39.7318166,-86.2583328,2700
39.7318173,-86.2583155,2800
39.7318181,-86.2582981,2900
39.7318190,-86.2582810,3000
39.7318200,-86.2582637,3100
39.7318212,-86.2582465,3200
39.7318226,-86.2582292,3300
39.7318241,-86.2582120,3400
39.7318258,-86.2581948,3500
39.7318278,-86.2581777,3600
39.7318300,-86.2581605,3700
39.7318324,-86.2581433,3800
39.7318352,-86.2581263,3900
39.7318382,-86.2581095,4000
39.7318413,-86.2580926,4100
39.7318445,-86.2580757,4200
39.7318477,-86.2580590,4300
39.7318511,-86.2580422,4400
39.7318546,-86.2580254,4500
39.7318581,-86.2580086,4600
39.7318618,-86.2579919,4700
39.7318656,-86.2579752,4800
39.7318694,-86.2579588,4900
39.7318733,-86.2579423,5000
39.7318774,-86.2579258,5100
39.7318815,-86.2579093,5200
39.7318858,-86.2578930,5300
39.7318903,-86.2578765,5400
39.7318948,-86.2578604,5500
39.7318995,-86.2578441,5600
39.7319043,-86.2578280,5700
39.7319092,-86.2578121,5800
39.7319143,-86.2577961,5900
39.7319197,-86.2577802,6000
39.7319252,-86.2577644,6100
39.7319308,-86.2577488,6200
39.7319367,-86.2577333,6300
39.7319428,-86.2577178,6400
39.7319492,-86.2577024,6500
39.7319558,-86.2576873,6600
39.7319627,-86.2576724,6700
39.7319698,-86.2576578,6800
39.7319773,-86.2576434,6900
39.7319852,-86.2576294,7000
39.7319932,-86.2576160,7100
39.7320014,-86.2576035,7200
39.7320095,-86.2575920,7300
39.7320177,-86.2575815,7400
39.7320261,-86.2575717,7500
39.7320350,-86.2575624,7600
39.7320445,-86.2575535,7700
39.7320543,-86.2575450,7800
39.7320648,-86.2575368,7900
39.7320759,-86.2575290,8000
39.7320873,-86.2575217,8100
39.7320992,-86.2575149,8200
39.7321116,-86.2575085,8300
39.7321241,-86.2575028,8400
39.7321369,-86.2574975,8500
39.7321497,-86.2574929,8600
39.7321625,-86.2574888,8700
39.7321755,-86.2574852,8800
39.7321887,-86.2574822,8900
39.7322019,-86.2574797,9000
39.7322152,-86.2574777,9100
39.7322284,-86.2574763,9200
39.7322417,-86.2574754,9300
39.7322546,-86.2574751,9400
39.7322669,-86.2574753,9500
39.7322788,-86.2574760,9600
39.7322903,-86.2574773,9700
39.7323011,-86.2574790,9800
39.7323115,-86.2574811,9900
39.7323211,-86.2574837,10000
39.7323303,-86.2574866,10100
39.7323389,-86.2574900,10200
39.7323470,-86.2574938,10300
39.7323549,-86.2574984,10400
39.7323627,-86.2575036,10500
39.7323704,-86.2575096,10600
39.7323783,-86.2575163,10700
39.7323860,-86.2575237,10800
39.7323938,-86.2575318,10900
39.7324015,-86.2575406,11000
39.7324090,-86.2575499,11100
39.7324165,-86.2575600,11200
39.7324238,-86.2575705,11300
39.7324310,-86.2575816,11400
39.7324382,-86.2575935,11500
39.7324451,-86.2576058,11600
39.7324519,-86.2576186,11700
39.7324584,-86.2576321,11800
39.7324648,-86.2576462,11900
39.7324708,-86.2576606,12000
39.7324762,-86.2576748,12100
39.7324809,-86.2576885,12200
39.7324851,-86.2577018,12300
39.7324888,-86.2577148,12400
39.7324920,-86.2577274,12500
39.7324947,-86.2577395,12600
39.7324969,-86.2577512,12700
39.7324987,-86.2577622,12800
39.7325000,-86.2577726,12900
39.7325009,-86.2577826,13000
39.7325014,-86.2577919,13100
39.7325015,-86.2578006,13200
39.7325010,-86.2578090,13300
39.7325000,-86.2578178,13400
39.7324984,-86.2578268,13500
39.7324962,-86.2578361,13600
39.7324935,-86.2578454,13700
39.7324904,-86.2578549,13800
39.7324868,-86.2578643,13900
39.7324828,-86.2578741,14000
39.7324784,-86.2578838,14100
